id	product	G8C	GR10	Alt63	St10y	GR6	G10	G13	St10	N4Sz33	N4G2	10GB	strains
OG0000018:	[gene=gp17.2]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000016:	[gene=gp17]_[protein=capsid_decorating_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000001:	[gene=gp1]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000061:	[gene=gp63]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000092:	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	1	1
OG0000041:	[gene=gp43]_[protein=DNS_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000075:	[gene=gp24.1]_[protein=putative_HNH_homing_endonuclease]	2	0	3	0	0	0	0	0	0	0	1	3
OG0000052:	[gene=gp54]_[protein=putative_tail_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000042:	[gene=gp44]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000073:	[gene=ST15.1]_[protein=putative_HNH_homing_endonuclease]	1	1	1	1	0	1	0	1	0	0	1	7
OG0000051:	[gene=gp53]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000002:	[gene=gp1.1]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000062:	[gene=gp66]_[protein=tail_fiber_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000091:	[gene=gp53]_[protein=hypothetical_protein]	0	0	0	0	0	0	0	0	0	0	1	1
OG0000019:	[gene=gp17.3]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000085:	[gene=gp34]_[protein=rIIB-like_protein]	0	1	0	0	0	1	0	1	0	0	0	3
OG0000024:	[gene=gp27.1]_[protein=putative_membrane_immunity_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000031:	[gene=gp33]_[protein=rIIA-like_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000026:	[gene=gp30]_[protein=thymidilate_synthase]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000028:	[gene=gp30.2]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000022:	[gene=gp26]_[protein=dCTP_deaminase]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000077:	[gene=gp32.1]_[protein=hypothetical_protein]	1	1	1	1	0	1	0	1	0	0	0	6
OG0000039:	[gene=gp41]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000011:	[gene=gp12]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000099:	[gene=gp50]_[protein=virion_RNA_polymerase]	0	0	0	1	0	0	0	0	0	0	0	1
OG0000008:	[gene=gp9.2]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000006:	[gene=gp9]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000066:	[gene=gp70]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000044:	[gene=gp46]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000068:	[gene=gp71.1]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000059:	[gene=gp61]_[protein=N-acetylmuramidase]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000046:	hypothetical_protein	1	1	1	1	1	1	1	1	1	1	1	11
OG0000080:	hypothetical_protein	0	1	0	1	0	1	0	1	0	0	0	4
OG0000064:	hypothetical_protein	1	1	1	1	1	1	1	1	1	1	1	11
OG0000048:	[gene=gp50]_[protein=virion_RNA_polymerase]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000004:	[gene=gp2.2]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000078:	[gene=gp53]_[protein=hypothetical_protein]	1	1	0	1	1	1	0	1	0	0	0	6
OG0000076:	hypothetical_protein	1	0	0	0	1	0	1	0	1	1	1	6
OG0000030:	[gene=gp32]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000074:	hypothetical_protein	0	1	0	1	1	1	1	1	0	1	0	7
OG0000015:	[gene=gp16.1]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000007:	[gene=gp9.1]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000089:	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	1	1
OG0000067:	[gene=gp71]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000050:	[gene=gp52]_[protein=putative_structural_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000047:	hypothetical_protein	1	1	1	1	1	1	1	1	1	1	1	11
OG0000023:	[gene=gp27]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000090:	[gene=gp39]_[protein=DNA_polymerase]	0	0	0	0	0	0	0	0	0	0	1	1
OG0000035:	[gene=gp37]_[protein=DNA_helicase]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000081:	[gene=gp2.4]_[protein=hypothetical_protein]	1	0	0	0	1	0	1	0	0	1	0	4
OG0000003:	[gene=gp2]_[protein=RNA_polymerase_RNAP1_subunit_A]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000095:	[gene=gp67]_[protein=putative_tail_protein]	0	0	0	0	0	0	1	0	0	0	0	1
OG0000063:	[gene=gp67]_[protein=putative_tail_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000043:	[gene=gp45]_[protein=ssDNA-binding_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000027:	[gene=gp30.1]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000072:	hypothetical_protein	0	1	0	1	1	1	1	1	1	1	0	8
OG0000055:	[gene=gp57]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000010:	[gene=gp11.1]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
